epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2,MODEL.ALIGN_MODE,MODEL.CD_PASS_RATE,MODEL.CD_RATE,MODEL.CELL_CLIP,MODEL.CI_ENC_DIM,MODEL.CI_LAG,MODEL.CON_DIM,MODEL.CO_AUTOREG_PRIOR,MODEL.CO_DIM,MODEL.CO_PRIOR_NVAR,MODEL.CO_PRIOR_TAU,MODEL.CS_DIM,MODEL.DATA_DIM,MODEL.DROPOUT_RATE,MODEL.EXT_INPUT_DIM,MODEL.FAC_DIM,MODEL.FP_LEN,MODEL.GEN_DIM,MODEL.IC_DIM,MODEL.IC_ENC_DIM,MODEL.IC_ENC_SEQ_LEN,MODEL.IC_POST_VAR_MIN,MODEL.IC_PRIOR_VAR,MODEL.READIN_DIM,MODEL.SAMPLE_POSTERIORS,MODEL.SEQ_LEN,MODEL.SV_RATE,MODEL.SV_SEED,SEED,TRAIN.ADAM_EPSILON,TRAIN.BATCH_SIZE,TRAIN.DATA.DIR,TRAIN.DATA.PREFIX,TRAIN.EAGER_MODE,TRAIN.ENCODERS_ONLY,TRAIN.KL.CO_WEIGHT,TRAIN.KL.IC_WEIGHT,TRAIN.KL.INCREASE_EPOCH,TRAIN.KL.START_EPOCH,TRAIN.L2.CI_ENC_SCALE,TRAIN.L2.CON_SCALE,TRAIN.L2.GEN_SCALE,TRAIN.L2.IC_ENC_SCALE,TRAIN.L2.INCREASE_EPOCH,TRAIN.L2.READIN_SCALE,TRAIN.L2.START_EPOCH,TRAIN.LOG_HPS,TRAIN.LOSS_SCALE,TRAIN.LR.DECAY,TRAIN.LR.INIT,TRAIN.LR.PATIENCE,TRAIN.LR.STOP,TRAIN.MAX_EPOCHS,TRAIN.MAX_GRAD_NORM,TRAIN.MODEL_DIR,TRAIN.NLL_MEAN,TRAIN.OVERWRITE,TRAIN.PATIENCE,TRAIN.PBT_MODE,TRAIN.TUNE_MODE,TRAIN.USE_TB
1,4,1.0584173,1.0572357,nan,1.0572357,nan,0.093855456,0.008318027,0.085537426,0.0018518224,1324.294,0.004,0.012345679,0.012345679,0.84129596,0.84038067,nan,0.84038067,nan,0.07228408,0.0035806745,0.068703406,0.0018554076,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
2,8,0.757724,0.7557468,nan,0.84619343,nan,0.078216396,0.002679752,0.075536646,0.0018593381,1995.6245,0.004,0.024691358,0.024691358,0.5062117,0.50432366,nan,0.60514075,nan,0.07460051,0.0012647336,0.073335774,0.0018665874,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
3,12,0.46928245,0.466115,nan,0.5801385,nan,0.08365047,0.0014539309,0.08219653,0.0018710772,1492.0208,0.004,0.037037037,0.037037037,0.3604337,0.35865647,nan,0.43260175,nan,0.046106998,0.0008990865,0.04520791,0.0018781706,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
4,16,0.35559812,0.35379532,nan,0.42169827,nan,0.03462429,0.0011210929,0.033503197,0.0018815994,499.5598,0.004,0.049382716,0.049382716,0.31761375,0.3165189,nan,0.35134375,nan,0.020283896,0.00093927275,0.019344624,0.0018864082,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
5,20,0.32165992,0.32012892,nan,0.35059974,nan,0.022914553,0.0011462191,0.021768335,0.0018877592,381.77478,0.004,0.061728396,0.061728396,0.30530345,0.30456707,nan,0.31860006,nan,0.010041652,0.000865362,0.009176291,0.001887759,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
6,24,0.31281048,0.3116201,nan,0.32331398,nan,0.014186206,0.0010279765,0.013158229,0.0018839429,206.13739,0.004,0.074074075,0.074074075,0.30250448,0.30199817,nan,0.30697873,nan,0.004959408,0.0009265071,0.004032901,0.0018756466,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
7,28,0.30996278,0.3089019,nan,0.31322554,nan,0.010406893,0.0010667637,0.009340129,0.0018685206,255.73236,0.004,0.086419754,0.086419754,0.30200207,0.3014024,nan,0.30307528,nan,0.0050838436,0.0011142798,0.0039695636,0.0018551747,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
8,32,0.30843383,0.3074851,nan,0.30920723,nan,0.0077590668,0.00121834,0.0065407264,0.0018469407,338.14117,0.004,0.09876543,0.09876543,0.2998991,0.29934254,nan,0.30046237,nan,0.0038028662,0.0012068441,0.002596022,0.0018322006,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
9,36,0.30593577,0.304959,nan,0.30623347,nan,0.0069696344,0.001258813,0.0057108207,0.0018214181,165.44835,0.004,0.11111111,0.11111111,0.29911688,0.29861996,nan,0.29917267,nan,0.002670777,0.0012729893,0.0013977878,0.0018015284,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
10,40,0.3048247,0.30392236,nan,0.30461568,nan,0.005520792,0.0012775593,0.004243233,0.0017881743,186.20111,0.004,0.12345679,0.12345679,0.29877523,0.29819378,nan,0.29848745,nan,0.0029451086,0.0012378905,0.0017072181,0.0017646068,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
