epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2,MODEL.ALIGN_MODE,MODEL.CD_PASS_RATE,MODEL.CD_RATE,MODEL.CELL_CLIP,MODEL.CI_ENC_DIM,MODEL.CI_LAG,MODEL.CON_DIM,MODEL.CO_AUTOREG_PRIOR,MODEL.CO_DIM,MODEL.CO_PRIOR_NVAR,MODEL.CO_PRIOR_TAU,MODEL.CS_DIM,MODEL.DATA_DIM,MODEL.DROPOUT_RATE,MODEL.EXT_INPUT_DIM,MODEL.FAC_DIM,MODEL.FP_LEN,MODEL.GEN_DIM,MODEL.IC_DIM,MODEL.IC_ENC_DIM,MODEL.IC_ENC_SEQ_LEN,MODEL.IC_POST_VAR_MIN,MODEL.IC_PRIOR_VAR,MODEL.READIN_DIM,MODEL.SAMPLE_POSTERIORS,MODEL.SEQ_LEN,MODEL.SV_RATE,MODEL.SV_SEED,SEED,TRAIN.ADAM_EPSILON,TRAIN.BATCH_SIZE,TRAIN.DATA.DIR,TRAIN.DATA.PREFIX,TRAIN.EAGER_MODE,TRAIN.ENCODERS_ONLY,TRAIN.KL.CO_WEIGHT,TRAIN.KL.IC_WEIGHT,TRAIN.KL.INCREASE_EPOCH,TRAIN.KL.START_EPOCH,TRAIN.L2.CI_ENC_SCALE,TRAIN.L2.CON_SCALE,TRAIN.L2.GEN_SCALE,TRAIN.L2.IC_ENC_SCALE,TRAIN.L2.INCREASE_EPOCH,TRAIN.L2.READIN_SCALE,TRAIN.L2.START_EPOCH,TRAIN.LOG_HPS,TRAIN.LOSS_SCALE,TRAIN.LR.DECAY,TRAIN.LR.INIT,TRAIN.LR.PATIENCE,TRAIN.LR.STOP,TRAIN.MAX_EPOCHS,TRAIN.MAX_GRAD_NORM,TRAIN.MODEL_DIR,TRAIN.NLL_MEAN,TRAIN.OVERWRITE,TRAIN.PATIENCE,TRAIN.PBT_MODE,TRAIN.TUNE_MODE,TRAIN.USE_TB
1,4,1.004889,1.003972,nan,1.003972,nan,0.074264415,0.070079386,0.004185023,1.2683095e-05,1459.8722,0.004,0.012345679,0.012345679,0.71617943,0.7158332,nan,0.7158332,nan,0.0280295,0.024557166,0.0034723335,1.2737533e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
2,8,0.6348941,0.6342707,nan,0.74518114,nan,0.025234183,0.021212662,0.0040215235,1.2786914e-05,2301.8765,0.004,0.024691358,0.024691358,0.31537682,0.3150991,nan,0.4353193,nan,0.011234531,0.008641136,0.0025933958,1.2873537e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
3,12,0.26989022,0.26923856,nan,0.41202134,nan,0.017581396,0.013563568,0.004017828,1.293052e-05,1695.355,0.004,0.037037037,0.037037037,0.14232598,0.1418398,nan,0.22988366,nan,0.013114076,0.00663124,0.0064828363,1.3024983e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
4,16,0.14237262,0.14156467,nan,0.22270167,nan,0.016348151,0.011360887,0.004987264,1.307401e-05,389.45383,0.004,0.049382716,0.049382716,0.115976825,0.11563451,nan,0.14990926,nan,0.006918831,0.005314435,0.0016043962,1.3148296e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
5,20,0.12145946,0.120932534,nan,0.15146327,nan,0.008523019,0.0066459593,0.0018770588,1.3186562e-05,167.60219,0.004,0.061728396,0.061728396,0.110379584,0.10998286,nan,0.12196078,nan,0.006413637,0.004748074,0.0016655634,1.3249199e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
6,24,0.117621064,0.11711311,nan,0.12741816,nan,0.0068439892,0.0050765323,0.0017674568,1.3282977e-05,157.83885,0.004,0.074074075,0.074074075,0.11061138,0.11021131,nan,0.11373615,nan,0.0053875367,0.004404985,0.000982552,1.3337672e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
7,28,0.11745268,0.11695854,nan,0.12009643,nan,0.005704499,0.0045569194,0.0011475793,1.3370002e-05,255.50894,0.004,0.086419754,0.086419754,0.11163363,0.11119737,nan,0.111959,nan,0.0050347056,0.00438637,0.0006483357,1.3424842e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
8,32,0.11648357,0.115957245,nan,0.117199,nan,0.0053155124,0.004374163,0.0009413492,1.345388e-05,276.67825,0.004,0.09876543,0.09876543,0.10965199,0.109179616,nan,0.11001343,nan,0.004769284,0.004186445,0.000582839,1.350445e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
9,36,0.11463427,0.1140721,nan,0.11501017,nan,0.0050459197,0.0042498866,0.00079603307,1.3533221e-05,118.0435,0.004,0.11111111,0.11111111,0.10964977,0.1091541,nan,0.109411895,nan,0.0044474746,0.004145706,0.0003017685,1.3578183e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
10,40,0.11399276,0.11339984,nan,0.113882944,nan,0.0047890334,0.004265012,0.0005240213,1.3605288e-05,164.40302,0.004,0.12345679,0.12345679,0.10874054,0.10821123,nan,0.108571425,nan,0.004273807,0.0040992997,0.0001745074,1.3648577e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
