epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2
1,1,1.1212183,1.1206692,nan,1.1206692,nan,0.044474356,0.044251256,0.0002231001,7.6820606e-07,0.2176639,0.01,0.012345679,0.012345679,0.91384387,0.91360515,nan,0.91360515,nan,0.019334177,0.01911503,0.00021914644,7.700404e-07
2,2,0.91681725,0.9163293,nan,0.97763133,nan,0.019761154,0.019541802,0.00021935241,7.700404e-07,0.13750114,0.01,0.024691358,0.024691358,0.7924324,0.7915298,nan,0.8281524,nan,0.036557924,0.03634633,0.00021159188,7.7320914e-07
3,3,0.7964143,0.7950337,nan,0.849813,nan,0.03727633,0.03706452,0.00021181277,7.7320914e-07,0.2762617,0.01,0.037037037,0.037037037,0.50006956,0.49489698,nan,0.5948736,nan,0.1396593,0.13920987,0.00044942973,7.7772506e-07
4,4,0.50675774,0.4998567,nan,0.6048436,nan,0.13974518,0.13930039,0.00044479113,7.7772506e-07,0.3092217,0.01,0.049382716,0.049382716,0.30159777,0.29765096,nan,0.38681775,nan,0.07992223,0.079735465,0.00018676382,7.833611e-07
5,5,0.30628055,0.30134767,nan,0.39239645,nan,0.07991178,0.079724915,0.0001868673,7.833611e-07,0.16734077,0.01,0.061728396,0.061728396,0.16910711,0.16528614,nan,0.23174563,nan,0.0618989,0.06172189,0.00017700548,7.900014e-07
6,6,0.1723894,0.16764364,nan,0.23506948,nan,0.06406711,0.06389012,0.00017698969,7.900014e-07,0.09116053,0.01,0.074074075,0.074074075,0.113969624,0.111679085,nan,0.14769904,nan,0.030921452,0.030716738,0.00020471311,7.9728557e-07
7,7,0.1156011,0.11273292,nan,0.14943388,nan,0.03318817,0.032985557,0.0002026145,7.9728557e-07,0.045561038,0.01,0.086419754,0.086419754,0.12710448,0.12644538,nan,0.13282149,nan,0.007625714,0.0072940756,0.00033163835,8.0488655e-07
8,8,0.12768143,0.12677129,nan,0.13357006,nan,0.009214509,0.008886021,0.00032848897,8.0488655e-07,0.0473875,0.01,0.09876543,0.09876543,0.11577601,0.11547312,nan,0.12067763,nan,0.0030658871,0.0028798345,0.00018605255,8.1237545e-07
9,9,0.116017945,0.11551968,nan,0.12093479,nan,0.004483595,0.004299035,0.00018456027,8.1237545e-07,0.024020273,0.01,0.11111111,0.11111111,0.11564276,0.11539029,nan,0.11697649,nan,0.0022714504,0.002126134,0.00014531627,8.198684e-07
10,10,0.1163777,0.11597927,nan,0.11746593,nan,0.0032264127,0.0030805347,0.00014587787,8.198684e-07,0.022637796,0.01,0.12345679,0.12345679,0.117521055,0.11725882,nan,0.11717412,nan,0.0021232914,0.0019818756,0.00014141576,8.2727684e-07
11,11,0.120928325,0.12051294,nan,0.119598836,nan,0.0030579332,0.002915659,0.0001422741,8.2727684e-07,0.026044603,0.01,0.13580246,0.13580246,0.11627781,0.11594734,nan,0.11631538,nan,0.0024325799,0.0022917893,0.00014079054,8.34575e-07
12,12,0.118242584,0.11775744,nan,0.118309855,nan,0.0032738699,0.0031319126,0.00014195719,8.34575e-07,0.026854118,0.01,0.14814815,0.14814815,0.11087559,0.11045015,nan,0.112209715,nan,0.00287087,0.0027332036,0.00013766653,8.4178214e-07
13,13,0.11287064,0.11229466,nan,0.11409922,nan,0.0035879915,0.00344915,0.00013884147,8.4178214e-07,0.021970132,0.01,0.16049382,0.16049382,0.10352748,0.1030102,nan,0.10577005,nan,0.003222194,0.0030881122,0.00013408189,8.489541e-07
14,14,0.104277596,0.10361272,nan,0.10675867,nan,0.0038459266,0.0037109314,0.00013499512,8.489541e-07,0.01752417,0.01,0.17283951,0.17283951,0.10042798,0.09984057,nan,0.101619415,nan,0.0033977395,0.0032636947,0.00013404472,8.560565e-07
15,15,0.10181886,0.10107729,nan,0.102781706,nan,0.0040036594,0.0038692367,0.00013442282,8.560565e-07,0.027311932,0.01,0.18518518,0.18518518,0.10468207,0.10407561,nan,0.10333875,nan,0.003274053,0.0031362914,0.00013776177,8.627549e-07
16,16,0.10639228,0.10559686,nan,0.10475232,nan,0.0040259333,0.0038886466,0.00013728661,8.627549e-07,0.04964565,0.01,0.19753087,0.19753087,0.09568934,0.094982244,nan,0.09748919,nan,0.0035788175,0.0034522384,0.0001265792,8.687563e-07
17,17,0.096815825,0.095944636,nan,0.09858694,nan,0.004150106,0.004023498,0.00012660824,8.687563e-07,0.012837136,0.01,0.20987654,0.20987654,0.0961731,0.095392294,nan,0.09602136,nan,0.0037194372,0.0036001415,0.00011929577,8.744387e-07
18,18,0.09847938,0.09757213,nan,0.09787658,nan,0.0040817373,0.0039618947,0.00011984257,8.744387e-07,0.013301095,0.01,0.22222222,0.22222222,0.09644091,0.09564573,nan,0.09575842,nan,0.0035774133,0.0034626136,0.00011479974,8.798639e-07
19,19,0.09795924,0.09705554,nan,0.09730185,nan,0.0038517443,0.0037362552,0.00011548908,8.798639e-07,0.014561692,0.01,0.2345679,0.2345679,0.09521285,0.094449,nan,0.09484182,nan,0.0032555223,0.0031437615,0.000111760884,8.850607e-07
20,20,0.096929654,0.096041575,nan,0.096419655,nan,0.0035958579,0.003483427,0.00011243088,8.850607e-07,0.011083335,0.01,0.24691358,0.24691358,0.09440371,0.09369148,nan,0.09403659,nan,0.0028836147,0.002773552,0.00011006272,8.900466e-07
21,21,0.09638163,0.09553284,nan,0.09579889,nan,0.003272992,0.0031624595,0.00011053263,8.900466e-07,0.009107125,0.01,0.25925925,0.25925925,0.09493223,0.09425033,nan,0.09418621,nan,0.0026292882,0.0025204245,0.00010886358,8.9482097e-07
22,22,0.09707681,0.096247956,nan,0.096113235,nan,0.0030507797,0.0029415295,0.00010925015,8.9482097e-07,0.013477371,0.01,0.27160493,0.27160493,0.094865024,0.09418406,nan,0.094184704,nan,0.0025062594,0.0024000162,0.00010624312,8.9938845e-07
23,23,0.095815904,0.094996564,nan,0.095331565,nan,0.0028846026,0.002778538,0.000106064654,8.9938845e-07,0.01368853,0.01,0.28395063,0.28395063,0.093496524,0.09279858,nan,0.09321442,nan,0.002457072,0.0023553635,0.00010170858,9.0376733e-07
24,24,0.095523804,0.09470731,nan,0.09489459,nan,0.002754766,0.0026528838,0.000101882215,9.0376733e-07,0.008418711,0.01,0.2962963,0.2962963,0.09273741,0.09202487,nan,0.09238174,nan,0.0024038958,0.0023069035,9.69924e-05,9.079713e-07
25,25,0.09479946,0.093989946,nan,0.09426134,nan,0.0026218938,0.0025247089,9.718493e-05,9.079713e-07,0.0067880913,0.01,0.30864197,0.30864197,0.09296862,0.092236824,nan,0.0922803,nan,0.0023701016,0.0022772013,9.2900336e-05,9.119924e-07
26,26,0.09512175,0.09430973,nan,0.09429522,nan,0.0025288456,0.002435542,9.3303606e-05,9.119924e-07,0.007488053,0.01,0.32098764,0.32098764,0.09271429,0.09198919,nan,0.092076525,nan,0.0022580454,0.0021687595,8.928583e-05,9.158289e-07
27,27,0.09386687,0.093054116,nan,0.09342644,nan,0.0024373534,0.0023479906,8.9362795e-05,9.158289e-07,0.007443149,0.01,0.33333334,0.33333334,0.09222271,0.091480106,nan,0.09165903,nan,0.0022268945,0.0021408703,8.602407e-05,9.1947913e-07
28,28,0.093212195,0.09239196,nan,0.09270231,nan,0.002371887,0.0022859806,8.590628e-05,9.1947913e-07,0.004998216,0.01,0.34567901,0.34567901,0.0920497,0.09131071,nan,0.091415204,nan,0.0021368773,0.0020540734,8.2803905e-05,9.22952e-07
29,29,0.092885226,0.09207159,nan,0.09226081,nan,0.0022716513,0.0021890504,8.260077e-05,9.22952e-07,0.00506484,0.01,0.3580247,0.3580247,0.09221025,0.09145412,nan,0.09144244,nan,0.002111019,0.0020317812,7.923778e-05,9.2626544e-07
30,30,0.09349527,0.09268631,nan,0.09255866,nan,0.0021832697,0.002103954,7.931563e-05,9.2626544e-07,0.0071943677,0.01,0.37037036,0.37037036,0.09190754,0.09114868,nan,0.09123681,nan,0.0020479828,0.0019728427,7.5139986e-05,9.2944816e-07
31,31,0.094089516,0.093262196,nan,0.093051136,nan,0.0021607676,0.002085202,7.55657e-05,9.2944816e-07,0.007175132,0.01,0.38271606,0.38271606,0.091625124,0.09084803,nan,0.09096466,nan,0.0020295316,0.001958586,7.0945476e-05,9.3252896e-07
32,32,0.09314881,0.092331424,nan,0.092547335,nan,0.0020680844,0.0019968138,7.127065e-05,9.3252896e-07,0.0051850467,0.01,0.39506173,0.39506173,0.09136154,0.09059134,nan,0.09070334,nan,0.0019486143,0.0018814639,6.715038e-05,9.355142e-07
33,33,0.093081735,0.09225807,nan,0.09234485,nan,0.0020207742,0.0019533464,6.7427645e-05,9.355142e-07,0.004040419,0.01,0.4074074,0.4074074,0.09129661,0.090509824,nan,0.09056788,nan,0.0019302779,0.0018663177,6.3960186e-05,9.382734e-07
34,34,0.09307871,0.09224943,nan,0.092278056,nan,0.0019747,0.0019102034,6.449667e-05,9.382734e-07,0.0054033385,0.01,0.41975307,0.41975307,0.09108522,0.09029155,nan,0.09037445,nan,0.0018898519,0.0018285696,6.128234e-05,9.406841e-07
35,35,0.09230467,0.09147156,nan,0.09171351,nan,0.0019270967,0.0018654193,6.1677434e-05,9.406841e-07,0.005035337,0.01,0.43209878,0.43209878,0.09065727,0.08983872,nan,0.08999944,nan,0.001893409,0.0018344375,5.8971473e-05,9.427923e-07
36,36,0.092968486,0.09210572,nan,0.09198806,nan,0.0019402994,0.0018812618,5.903764e-05,9.427923e-07,0.0029258903,0.01,0.44444445,0.44444445,0.0905248,0.089685716,nan,0.08977983,nan,0.0018870058,0.0018301579,5.6847846e-05,9.447516e-07
37,37,0.0929117,0.09204888,nan,0.09203064,nan,0.001887918,0.0018304524,5.7465608e-05,9.447516e-07,0.0034492183,0.01,0.45679012,0.45679012,0.09054145,0.08969351,nan,0.08971941,nan,0.0018553588,0.0018005398,5.4819062e-05,9.4666393e-07
38,38,0.09225205,0.09136851,nan,0.09156715,nan,0.00188239,0.0018269209,5.5469103e-05,9.4666393e-07,0.0058506536,0.01,0.4691358,0.4691358,0.0903928,0.08953564,nan,0.08959077,nan,0.0018261503,0.0017734716,5.2678766e-05,9.486237e-07
39,39,0.09193645,0.09105314,nan,0.09120735,nan,0.0018336041,0.0017805522,5.305182e-05,9.486237e-07,0.0040819966,0.01,0.4814815,0.4814815,0.09018897,0.08932734,nan,0.08940637,nan,0.001788598,0.0017379959,5.0602117e-05,9.5057277e-07
40,40,0.09177822,0.09087698,nan,0.09097609,nan,0.0018240532,0.0017730615,5.0991734e-05,9.5057277e-07,0.0025736657,0.01,0.49382716,0.49382716,0.09011213,0.08922455,nan,0.08927909,nan,0.0017963937,0.0017475921,4.880159e-05,9.5226676e-07
41,41,0.09194264,0.09103137,nan,0.09101479,nan,0.0017993541,0.0017506987,4.8655445e-05,9.5226676e-07,0.004400458,0.01,0.50617284,0.50617284,0.08998192,0.08908301,nan,0.08914183,nan,0.0017749391,0.0017274154,4.752381e-05,9.535462e-07
42,42,0.092101604,0.09118133,nan,0.09113137,nan,0.0017738601,0.0017262722,4.7587855e-05,9.535462e-07,0.0042394586,0.01,0.5185185,0.5185185,0.08985588,0.08894396,nan,0.08900332,nan,0.0017577586,0.0017107036,4.705497e-05,9.544988e-07
43,43,0.09068078,0.08973786,nan,0.090155914,nan,0.0017752367,0.0017281381,4.7098558e-05,9.544988e-07,0.0033666005,0.01,0.5308642,0.5308642,0.08971875,0.08877059,nan,0.08884041,nan,0.0017851159,0.0017382633,4.6852663e-05,9.554597e-07
