epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2
1,1,1.0773059,1.0742774,nan,1.0742774,nan,0.24531154,0.2450883,0.00022325452,7.5123063e-07,0.5277536,0.01,0.012345679,0.012345679,0.8789458,0.87665194,nan,0.87665194,nan,0.18580338,0.18558848,0.00021490076,7.546851e-07
2,2,0.8820978,0.87749994,nan,0.93653315,nan,0.18621278,0.185998,0.00021478758,7.546851e-07,0.60854524,0.01,0.024691358,0.024691358,0.5347629,0.5273576,nan,0.6321459,nan,0.299916,0.299706,0.0002099997,7.6037463e-07
3,3,0.53767776,0.52650344,nan,0.64951235,nan,0.30170718,0.30149743,0.00020975027,7.6037463e-07,0.69242907,0.01,0.037037037,0.037037037,0.2584721,0.2480904,nan,0.36330706,nan,0.28030565,0.279456,0.0008496692,7.670938e-07
4,4,0.262724,0.24904402,nan,0.36918452,nan,0.277019,0.27617058,0.00084841397,7.670938e-07,0.8135178,0.01,0.049382716,0.049382716,0.13584228,0.13033482,nan,0.2002265,nan,0.11152515,0.10953331,0.001991837,7.750335e-07
5,5,0.1377676,0.13087375,nan,0.20236698,nan,0.111679435,0.10968905,0.0019903863,7.750335e-07,0.2178285,0.01,0.061728396,0.061728396,0.13372082,0.13045089,nan,0.15138358,nan,0.052972082,0.049973406,0.0029986764,7.836985e-07
6,6,0.13534376,0.13136378,nan,0.15266474,nan,0.05372891,0.050731394,0.0029975153,7.836985e-07,0.15805519,0.01,0.074074075,0.074074075,0.12307143,0.119932584,nan,0.12936789,nan,0.042373635,0.038262308,0.0041113254,7.9240266e-07
7,7,0.12438747,0.1207272,nan,0.13030846,nan,0.042353842,0.0382437,0.0041101426,7.9240266e-07,0.13976972,0.01,0.086419754,0.086419754,0.11061403,0.10744438,nan,0.114021435,nan,0.03667654,0.031209627,0.005466912,8.010609e-07
8,8,0.112621516,0.10901547,nan,0.11540337,nan,0.036510397,0.031043721,0.005466677,8.010609e-07,0.16959399,0.01,0.09876543,0.09876543,0.105401576,0.10227123,nan,0.10579629,nan,0.031693928,0.02498478,0.0067091454,8.094141e-07
9,9,0.10735776,0.10384458,nan,0.10731222,nan,0.03161782,0.024908828,0.0067089936,8.094141e-07,0.089183144,0.01,0.11111111,0.11111111,0.103825845,0.10057932,nan,0.10214441,nan,0.0292179,0.021316571,0.00790133,8.1755337e-07
10,10,0.10528423,0.101676576,nan,0.10336727,nan,0.029221144,0.021320863,0.007900282,8.1755337e-07,0.15285912,0.01,0.12345679,0.12345679,0.10264414,0.0990984,nan,0.100012206,nan,0.028719628,0.019795626,0.008924002,8.254111e-07
11,11,0.10345232,0.099547,nan,0.10069308,nan,0.028756503,0.019833332,0.008923172,8.254111e-07,0.10609938,0.01,0.13580246,0.13580246,0.10328167,0.09935341,nan,0.09955105,nan,0.02892543,0.019091347,0.009834083,8.328189e-07
12,12,0.104346536,0.100080125,nan,0.10026401,nan,0.028797407,0.01896456,0.009832846,8.328189e-07,0.09261809,0.01,0.14814815,0.14814815,0.100129284,0.09575524,nan,0.09689398,nan,0.02952395,0.018915225,0.010608726,8.3996133e-07
13,13,0.101128004,0.09638467,nan,0.09754847,nan,0.029553816,0.01894741,0.010606406,8.3996133e-07,0.05432071,0.01,0.16049382,0.16049382,0.106057435,0.1011542,nan,0.099876136,nan,0.030550081,0.019337634,0.011212449,8.467727e-07
14,14,0.10735845,0.10207358,nan,0.10071605,nan,0.030575888,0.01936593,0.011209957,8.467727e-07,0.32910684,0.01,0.17283951,0.17283951,0.10152405,0.09612659,nan,0.09725146,nan,0.031227276,0.01958682,0.0116404565,8.530406e-07
15,15,0.10287617,0.09710342,nan,0.09818721,nan,0.031172022,0.019535337,0.011636686,8.530406e-07,0.08096842,0.01,0.18518518,0.18518518,0.10435774,0.0984429,nan,0.09808546,nan,0.031939305,0.02008878,0.011850524,8.58977e-07
16,16,0.105202794,0.09890102,nan,0.098686874,nan,0.031901862,0.020057922,0.011843941,8.58977e-07,0.09822586,0.01,0.19753087,0.19753087,0.102174014,0.095695026,nan,0.09641216,nan,0.032799006,0.020947061,0.011851943,8.645746e-07
