epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2
1,1,1.1763635,1.0623661,nan,1.0623661,nan,9.2331915,5.8547673,3.3784244,0.0005845783,0.54438907,0.01,0.012345679,0.012345679,0.9616732,0.91029084,nan,0.91029084,nan,4.1613812,0.9899216,3.1714597,0.0005880472
2,2,1.0223545,0.91853416,nan,0.96168375,nan,4.2041354,1.0289661,3.1751692,0.0005880472,0.3885229,0.01,0.024691358,0.024691358,0.6901003,0.6128897,nan,0.70211005,nan,3.1264367,0.8659104,2.2605264,0.000593163
3,3,0.7388829,0.62228864,nan,0.72410715,nan,3.1474502,0.87186474,2.2755854,0.000593163,0.40504783,0.01,0.037037037,0.037037037,0.4456269,0.3603459,nan,0.46287516,nan,2.3019881,0.655794,1.6461941,0.00059954904
4,4,0.48323047,0.3652912,nan,0.47293597,nan,2.3876708,0.66073227,1.7269385,0.00059954904,0.3614958,0.01,0.049382716,0.049382716,0.29915908,0.25263268,nan,0.31570542,nan,0.941553,0.46258157,0.47897142,0.0006067159
5,5,0.31669512,0.2549575,nan,0.32035103,nan,0.9995428,0.45609313,0.54344964,0.0006067159,0.21469879,0.01,0.061728396,0.061728396,0.2079216,0.16293484,nan,0.20876601,nan,0.728171,0.43276364,0.29540735,0.0006143702
6,6,0.22296579,0.1652939,nan,0.21181104,nan,0.7779561,0.43864673,0.33930942,0.0006143702,0.17972575,0.01,0.074074075,0.074074075,0.16367152,0.11838128,nan,0.1454967,nan,0.6107963,0.36691424,0.24388205,0.00062210293
7,7,0.17565604,0.119340934,nan,0.14708197,nan,0.6510241,0.3703918,0.28063235,0.00062210293,0.13062848,0.01,0.086419754,0.086419754,0.14715216,0.10461141,nan,0.116877,nan,0.49162716,0.3458379,0.14578928,0.0006300276
8,8,0.15853436,0.10612025,nan,0.11840877,nan,0.5300628,0.34848818,0.18157461,0.0006300276,0.13099004,0.01,0.09876543,0.09876543,0.13800602,0.10082411,nan,0.10563998,nan,0.3758288,0.31160656,0.06422226,0.0006379768
9,9,0.14805266,0.10189716,nan,0.10685064,nan,0.41476163,0.31712857,0.09763307,0.0006379768,0.065119445,0.01,0.11111111,0.11111111,0.17157196,0.12932041,nan,0.122216284,nan,0.37961817,0.3274807,0.05213745,0.00064580044
10,10,0.1789598,0.12907852,nan,0.122410156,nan,0.40339258,0.3235274,0.079865195,0.00064580044,1.2014836,0.01,0.12345679,0.12345679,0.1764509,0.122056656,nan,0.12210454,nan,0.43994078,0.34831214,0.09162863,0.0006524852
11,11,0.18867932,0.12532343,nan,0.12444945,nan,0.46587735,0.34917122,0.11670613,0.0006524852,0.16658553,0.01,0.13580246,0.13580246,0.19390568,0.13462183,nan,0.13086665,nan,0.43588534,0.36996272,0.06592261,0.0006593175
12,12,0.20433319,0.13663633,nan,0.13298027,nan,0.45629442,0.36981228,0.086482145,0.0006593175,0.1553401,0.01,0.14814815,0.14814815,0.20367993,0.14035168,nan,0.13750617,nan,0.42679954,0.38637096,0.040428568,0.000666169
13,13,0.21250519,0.14105192,nan,0.13863042,nan,0.44454274,0.38362762,0.06091512,0.000666169,0.17456493,0.01,0.16049382,0.16049382,0.20905374,0.14132492,nan,0.14017929,nan,0.4213297,0.38462564,0.03670407,0.00067298167
14,14,0.21940964,0.14330177,nan,0.14190036,nan,0.43966544,0.3844746,0.055190846,0.00067298167,0.19582723,0.01,0.17283951,0.17283951,0.20925383,0.13776514,nan,0.13848938,nan,0.41293335,0.37865454,0.0342788,0.0006797703
15,15,0.21716055,0.13824007,nan,0.13933815,nan,0.42549086,0.37467974,0.050811127,0.0006797703,0.18243167,0.01,0.18518518,0.18518518,0.20501982,0.13228981,nan,0.13414969,nan,0.39205548,0.35790077,0.03415471,0.00068656757
16,16,0.21484844,0.13406268,nan,0.13564532,nan,0.40829137,0.35947636,0.04881502,0.00068656757,0.1645675,0.01,0.19753087,0.19753087,0.19757807,0.12489207,nan,0.12766935,nan,0.36727944,0.34039763,0.02688181,0.00069340836
17,17,0.20947252,0.1272943,nan,0.1297996,nan,0.39086166,0.3492183,0.041643362,0.00069340836,0.15953013,0.01,0.20987654,0.20987654,0.18930122,0.11650664,nan,0.119855456,nan,0.3461445,0.32936195,0.016782539,0.0007002891
